央视频道,#genre#
唐山影视,http://106.8.124.109:4022/rtp/239.254.200.168:6000
唐山公共,http://106.8.124.109:4022/rtp/239.254.200.169:6000
廊坊新闻,http://106.8.124.109:4022/rtp/239.254.200.183:6000
廊坊公共,http://106.8.124.109:4022/rtp/239.254.200.184:6000
沧州新闻综合,http://106.8.124.109:4022/rtp/239.254.200.42:6000
沧州公共,http://106.8.124.109:4022/rtp/239.254.200.43:6000
沧州影视娱乐,http://106.8.124.109:4022/rtp/239.254.200.44:6000
保定新闻综合,http://106.8.124.109:4022/rtp/239.254.200.144:6000
保定公共频道,http://106.8.124.109:4022/rtp/239.254.200.145:6000
保定生活健康,http://106.8.124.109:4022/rtp/239.254.200.146:6000
衡水新闻综合,http://106.8.124.109:4022/rtp/239.254.200.147:6000
衡水公共,http://106.8.124.109:4022/rtp/239.254.200.149:6000
邢台综合,http://106.8.124.109:4022/rtp/239.254.200.150:6000
邢台城市生活,http://106.8.124.109:4022/rtp/239.254.200.152:6000
邯郸新闻综合,http://106.8.124.109:4022/rtp/239.254.200.153:6000
邯郸公共,http://106.8.124.109:4022/rtp/239.254.200.154:6000
邯郸科技教育,http://106.8.124.109:4022/rtp/239.254.200.155:6000
kaku少儿,http://106.8.124.109:4022/rtp/239.254.200.91:9248
金鹰卡通,http://106.8.124.109:4022/rtp/239.254.200.92:9252
嘉佳卡通,http://106.8.124.109:4022/rtp/239.254.201.201:7269
优漫卡通,http://106.8.124.109:4022/rtp/239.254.201.203:7178
山东教育,http://106.8.124.109:4022/rtp/239.254.200.247:4120
纪实人文,http://106.8.124.109:4022/rtp/239.254.200.58:8060
BTV冬奥纪实,http://106.8.124.109:4022/rtp/239.254.200.188:6311
金鹰纪实,http://106.8.124.109:4022/rtp/239.254.200.189:6293
电视指南,http://106.8.124.109:4022/rtp/239.254.200.142:6256
第一剧场,http://106.8.124.109:4022/rtp/239.254.200.93:6227
风云剧场,http://106.8.124.109:4022/rtp/239.254.200.94:6228
怀旧剧场,http://106.8.124.109:4022/rtp/239.254.200.95:6229
风云音乐,http://106.8.124.109:4022/rtp/239.254.200.96:6230
风云足球,http://106.8.124.109:4022/rtp/239.254.200.97:6231
高尔夫网球,http://106.8.124.109:4022/rtp/239.254.200.98:6232
天元围棋,http://106.8.124.109:4022/rtp/239.254.201.156:6270
武术世界,http://106.8.124.109:4022/rtp/239.254.200.100:6234
兵器科技,http://106.8.124.109:4022/rtp/239.254.200.101:6235
世界地理,http://106.8.124.109:4022/rtp/239.254.200.102:6236
老故事,http://106.8.124.109:4022/rtp/239.254.200.104:6237
环球奇观,http://106.8.124.109:4022/rtp/239.254.200.105:6238
文物宝库,http://106.8.124.109:4022/rtp/239.254.200.106:6239
国学,http://106.8.124.109:4022/rtp/239.254.200.107:6255
茶频道,http://106.8.124.109:4022/rtp/239.254.200.228:6258
女性时尚,http://106.8.124.109:4022/rtp/239.254.200.110:6241
文化精品,http://106.8.124.109:4022/rtp/239.254.200.111:6251
早期教育,http://106.8.124.109:4022/rtp/239.254.200.114:6244
快乐垂钓,http://106.8.124.109:4022/rtp/239.254.200.229:6257
书画,http://106.8.124.109:4022/rtp/239.254.200.217:6267
摄影,http://106.8.124.109:4022/rtp/239.254.200.119:6246
梨园,http://106.8.124.109:4022/rtp/239.254.200.120:6247
靓妆,http://106.8.124.109:4022/rtp/239.254.200.122:6249
汽摩,http://106.8.124.109:4022/rtp/239.254.200.103:6252
游戏竞技,http://106.8.124.109:4022/rtp/239.254.201.157:6269
中学生,http://106.8.124.109:4022/rtp/239.254.200.113:6243
新动漫,http://106.8.124.109:4022/rtp/239.254.201.158:7170
网络棋牌,http://106.8.124.109:4022/rtp/239.254.201.159:7169
先锋乒羽,http://106.8.124.109:4022/rtp/239.254.201.160:7172
环球旅游,http://106.8.124.109:4022/rtp/239.254.201.161:6264
车迷,http://106.8.124.109:4022/rtp/239.254.201.162:6266
游戏风云,http://106.8.124.109:4022/rtp/239.254.201.163:6354
欢笑剧场,http://106.8.124.109:4022/rtp/239.254.201.164:6355
全纪实,http://106.8.124.109:4022/rtp/239.254.201.200:6356
动漫秀场,http://106.8.124.109:4022/rtp/239.254.201.165:6358
生活时尚,http://106.8.124.109:4022/rtp/239.254.201.166:6359
都市剧场,http://106.8.124.109:4022/rtp/239.254.201.167:6360
